epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.39581,2.24965,5.88656,2.21929,0.3185,0.50746,0.33821,0.15492,1.3995,13.3275,1.66483,0.00026,0.00026,0.00026
2,11.7312,1.19508,1.8816,1.41276,0.57261,0.67993,0.50425,0.15483,2.16394,5.14952,2.4242,0.00053109,0.00053109,0.00053109
3,15.9016,1.18468,1.38811,1.38569,0.54183,0.49254,0.43971,0.23805,1.81036,2.70932,2.52865,0.00079294,0.00079294,0.00079294
4,19.7892,1.17685,1.16788,1.39701,0.43725,0.31343,0.29167,0.12889,2.25183,6.25313,2.39063,0.00104555,0.00104555,0.00104555
5,23.709,1.17904,1.21764,1.43419,0.12201,0.34328,0.05056,0.01734,3.08373,7.47007,3.03678,0.00128892,0.00128892,0.00128892
6,27.381,1.18967,1.02921,1.43323,0.02548,0.28358,0.01258,0.00413,2.73749,50.0633,3.455,0.00152305,0.00152305,0.00152305
7,30.8227,1.17362,1.03094,1.38627,0.34441,0.49254,0.2645,0.10891,1.8207,5.54566,2.30789,0.00174794,0.00174794,0.00174794
8,34.2773,1.15542,0.98225,1.38783,0.00763,0.37313,0.00473,0.00137,3.18464,164.917,8.17019,0.001769,0.001769,0.001769
9,38.4246,1.08945,0.90915,1.34822,0.57167,0.34328,0.3882,0.14922,1.95896,2.39251,2.71037,0.001736,0.001736,0.001736
10,42.1075,1.05951,0.8583,1.31094,0.31819,0.76623,0.28501,0.12214,1.76669,3.09929,2.55266,0.001703,0.001703,0.001703
11,45.5337,1.1349,0.92265,1.34437,0.29523,0.49393,0.2516,0.12471,1.54088,4.54287,1.93583,0.00167,0.00167,0.00167
12,48.903,1.08806,0.86524,1.34304,0.69329,0.68657,0.7437,0.32575,1.81726,1.67607,2.14334,0.001637,0.001637,0.001637
